#{"t_start": 1788624353.1507077, "env_id": "None"}
r,l,t
-61.46971,96,0.256109
-50.51995,96,0.44896
-120.560145,96,0.74496
-77.052129,96,0.96693
-51.365631,96,1.192139
-60.181511,96,1.499175
-27.819823,96,1.723791
-63.177647,96,1.945792
-131.265694,96,2.275128
-55.76876,96,2.513954
-57.649838,96,2.878582
-45.3377,96,3.138219
-89.057199,96,3.374152
-63.101839,96,3.766865
-66.337468,96,4.013781
-54.876525,96,4.30373
-62.76051,96,4.631162
-47.063195,96,4.84831
-58.251393,96,5.193155
-40.737199,96,5.452587
-70.900231,96,5.680716
-62.525292,96,5.999721
-38.919384,96,6.227005
-109.143735,96,6.520041
-42.158324,96,6.874696
-81.510521,96,7.142838
-34.449129,96,7.509388
-82.254224,96,7.750005
-84.152391,96,8.018816
-25.874477,96,8.41899
-38.472432,96,8.662606
-77.834114,96,8.942667
-64.596487,96,9.270022
-30.681849,96,9.525294
-48.04836,96,9.879154
-48.951276,96,10.131151
-37.339781,96,10.373997
-42.485455,96,10.710996
-38.954944,96,10.983119
-38.872849,96,11.25321
-43.541711,96,11.586761
-47.389253,96,11.835037
-34.678625,96,12.250019
-31.201243,96,12.476148
-43.476628,96,12.695665
-44.082018,96,13.000125
-36.536856,96,13.19477
-29.680695,96,13.423409
-33.274619,96,13.728132
-40.720135,96,13.948174
-36.219097,96,14.230382
-39.099062,96,14.441973
-42.212527,96,14.63884
-47.882375,96,14.962881
-34.758549,96,15.176918
-42.097772,96,15.38401
-32.582938,96,15.692678
-41.089721,96,15.885678
-39.159127,96,16.184117
-28.311536,96,16.40396
-40.860836,96,16.62896
-28.398928,96,16.96196
-36.710408,96,17.193002
-45.841276,96,17.429653
-31.969833,96,17.772973
-38.683954,96,18.015973
-31.299849,96,18.359359
-39.771464,96,18.60417
-33.400004,96,18.85517
-38.880155,96,19.196733
-32.141579,96,19.448733
-37.454151,96,19.704817
-38.951692,96,20.069782
-29.686395,96,20.331187
-43.10184,96,20.781871
-39.08355,96,21.167764
-30.716144,96,21.479747
-28.917192,96,21.887965
-50.164283,96,22.125038
-39.795247,96,22.382082
-62.022425,96,22.682931
-50.002331,96,22.90493
-38.689704,96,23.251512
-39.197046,96,23.584397
-26.237631,96,23.832674
-33.257288,96,24.169758
-31.907439,96,24.432767
-31.911994,96,24.6847
-29.452173,96,25.024741
-35.340769,96,25.277514
-28.536706,96,25.634793
-38.119495,96,25.877793
-28.930784,96,26.138092
-35.991072,96,26.559747
-37.982435,96,26.7939
-35.023038,96,27.011899
-34.395026,96,27.295726
-42.78799,96,27.512724
-39.038027,96,27.796944
-39.743861,96,27.991091
-40.970991,96,28.206992
-39.099765,96,28.483643
-44.727239,96,28.703645
-39.681743,96,28.913374
-34.603905,96,29.203831
-38.746084,96,29.403706
-36.858311,96,29.689152
-43.856313,96,29.896193
-43.936551,96,30.129422
-42.026189,96,30.460802
-34.276702,96,30.677803
-34.346963,96,30.925323
-32.87596,96,31.283943
-42.906858,96,31.559959
-28.115619,96,31.871148
-45.103404,96,32.07008
-36.714616,96,32.269741
-30.621475,96,32.544739
-41.097407,96,32.741739
-34.94193,96,32.94474
-36.293681,96,33.224303
-30.877541,96,33.422221
-39.062666,96,33.709922
-41.150271,96,33.903924
-43.882688,96,34.127188
-42.136759,96,34.434286
-38.422395,96,34.652451
-23.218318,96,34.846192
-31.419813,96,35.143707
-31.086789,96,35.360253
-34.940173,96,35.679146
-34.437293,96,35.904139
-34.826121,96,36.127041
-43.665844,96,36.457878
-27.245148,96,36.690096
-34.730862,96,36.926583
-58.415226,96,37.263097
-33.898926,96,37.505093
-36.006989,96,37.845872
-40.231455,96,38.1024
-34.008129,96,38.35852
-30.753052,96,38.699121
-28.87046,96,38.948121
-44.606814,96,39.194694
-33.975229,96,39.563933
-40.05484,96,39.910285
-40.043711,96,40.337363
-41.355221,96,40.643215
-43.181774,96,40.851218
-36.134796,96,41.152102
-33.830663,96,41.375139
-47.63607,96,41.576139
-45.510653,96,41.865154
-43.348961,96,42.064366
-51.812363,96,42.350942
-33.050396,96,42.565943
-56.531954,96,42.797944
-27.835598,96,43.128449
-31.764297,96,43.380178
-38.468615,96,43.631112
-38.288471,96,43.971154
-41.544286,96,44.218014
-39.823935,96,44.560012
-34.167255,96,44.827236
-37.334995,96,45.088363
-37.674424,96,45.467683
-28.65191,96,45.680364
