#{"t_start": 1788730050.692823, "env_id": "None"}
r,l,t
-34.172926,96,0.083521
-111.647342,96,0.152981
-59.069585,96,0.271433
-155.075576,96,0.34013
-73.843939,96,0.414213
-32.961412,96,0.533489
-121.83472,96,0.603313
-40.677414,96,0.670289
-39.231501,96,0.796015
-136.160229,96,0.86517
-40.228594,96,0.992484
-40.936452,96,1.061556
-116.176576,96,1.132398
-41.513601,96,1.248737
-38.325239,96,1.318478
-40.617178,96,1.385114
-76.063331,96,1.501262
-50.071994,96,1.571676
-41.092689,96,1.688172
-36.714555,96,1.752772
-67.296222,96,1.823093
-64.053369,96,1.950011
-52.977953,96,2.017152
-67.144299,96,2.082139
-35.29757,96,2.197819
-97.536578,96,2.26452
-62.256539,96,2.379085
-104.164703,96,2.445691
-51.010852,96,2.514342
-47.612025,96,2.63769
-65.397811,96,2.705077
-67.044892,96,2.781537
-61.422117,96,2.899911
-56.809769,96,2.976136
-56.081033,96,3.097723
-49.72654,96,3.164045
-62.86867,96,3.233794
-35.143385,96,3.35357
-59.703747,96,3.423746
-57.703466,96,3.496212
-35.222675,96,3.614722
-43.863825,96,3.684422
-46.957625,96,3.805171
-45.989327,96,3.872816
-42.626469,96,3.953609
-36.246324,96,4.078
-50.855357,96,4.145164
-64.846005,96,4.214553
-42.273717,96,4.333072
-38.438246,96,4.402728
-51.027749,96,4.521335
-28.040671,96,4.587402
-43.348113,96,4.654173
-38.487673,96,4.767655
-53.706294,96,4.835895
-29.298697,96,4.902412
-45.996557,96,5.024349
-52.150455,96,5.090652
-35.222322,96,5.202898
-37.677188,96,5.270447
-36.276674,96,5.336788
-32.886263,96,5.449829
-36.357698,96,5.51567
-38.21015,96,5.58651
-38.751445,96,5.713483
-38.122395,96,5.78247
-38.749438,96,5.900635
-47.504503,96,5.977104
-39.802294,96,6.044204
-39.226983,96,6.158082
-40.537035,96,6.226009
-47.439118,96,6.293696
-38.460857,96,6.410381
-42.70415,96,6.47728
-41.446,96,6.596103
-36.711001,96,6.665459
-41.378158,96,6.73146
-33.693295,96,6.853091
-37.468554,96,6.930542
-39.344191,96,6.998549
-41.048357,96,7.116313
-34.069452,96,7.182147
-41.489333,96,7.297654
-40.598926,96,7.365506
-39.734419,96,7.431378
-34.077702,96,7.551528
-45.172096,96,7.620807
-36.561444,96,7.689721
-36.921397,96,7.80813
-40.528475,96,7.875564
-39.81051,96,7.996177
-39.287496,96,8.064326
-39.3969,96,8.129977
-27.459742,96,8.245674
-49.201234,96,8.313448
-30.404749,96,8.379204
-46.69515,96,8.495879
-35.786751,96,8.565085
-40.346225,96,8.699123
-38.423901,96,8.766103
-38.319951,96,8.839249
-37.170085,96,8.961798
-40.131643,96,9.030277
-51.830006,96,9.09742
-49.236665,96,9.215455
-42.824585,96,9.282772
-45.458136,96,9.398807
-36.973532,96,9.46597
-40.116754,96,9.534705
-43.037605,96,9.653329
-49.23272,96,9.721431
-56.404848,96,9.790006
-44.737256,96,9.906963
-31.99899,96,9.978134
-40.158787,96,10.095481
-37.880912,96,10.160378
-43.361977,96,10.228714
-46.650443,96,10.34449
-41.714531,96,10.409803
-36.041619,96,10.478184
-40.379682,96,10.595992
-41.934505,96,10.66722
-35.990888,96,10.786793
-37.238167,96,10.857775
-37.955234,96,10.930814
-38.487823,96,11.047523
-39.026302,96,11.112756
-32.964568,96,11.179251
-39.91888,96,11.307745
-32.827298,96,11.377682
-33.994556,96,11.492666
-46.209968,96,11.564737
-36.606023,96,11.635091
-37.527992,96,11.752447
-41.520616,96,11.821571
-34.776474,96,11.891934
-40.308529,96,12.013412
-40.927326,96,12.078237
-37.188045,96,12.195244
-40.103208,96,12.262949
-38.214433,96,12.329209
-40.165468,96,12.446474
-33.138584,96,12.51619
-35.010223,96,12.591767
-35.062863,96,12.708332
-39.227122,96,12.776163
-34.894129,96,12.913417
-37.450293,96,12.986105
-33.508225,96,13.05446
-40.497857,96,13.169658
-42.973284,96,13.236077
-35.178289,96,13.303818
-41.863875,96,13.437669
-26.959354,96,13.507951
-34.581371,96,13.636339
-33.093576,96,13.705813
-32.683621,96,13.771814
-35.288104,96,13.888527
-38.35725,96,13.961281
-31.432278,96,14.030341
-38.676172,96,14.14796
-35.448404,96,14.212559
-51.696118,96,14.327653
-39.475006,96,14.395972
-30.305807,96,14.460533
-32.869677,96,14.584474
-26.71119,96,14.66304
-34.011059,96,14.730981
-36.491142,96,14.85404
-44.242112,96,14.9246
-37.873261,96,15.043793
-33.061671,96,15.112322
-35.805866,96,15.178455
-37.753481,96,15.297164
-45.209068,96,15.364531
-31.860664,96,15.431995
-33.181165,96,15.558653
-35.188757,96,15.626734
-33.383013,96,15.750381
-36.116563,96,15.821666
-37.784324,96,15.894708
-33.322106,96,16.021538
-32.960297,96,16.090534
-37.608138,96,16.156816
-29.092151,96,16.270459
-30.605095,96,16.337661
-37.142578,96,16.455149
-29.015394,96,16.523212
-35.344943,96,16.588582
-29.050078,96,16.708688
-40.528773,96,16.775975
-32.562154,96,16.847125
-33.785975,96,16.967379
-43.720097,96,17.035127
-28.690908,96,17.14973
-31.880446,96,17.214797
-38.448844,96,17.28838
-34.074435,96,17.407552
-29.103462,96,17.475756
-35.622435,96,17.545916
-33.370855,96,17.663455
-28.894443,96,17.732495
-36.508521,96,17.854133
-29.987805,96,17.923621
-30.016296,96,17.993932
-38.469672,96,18.107723
-31.146537,96,18.174629
-27.853781,96,18.240695
-29.911023,96,18.355446
-25.877575,96,18.428682
-30.6906,96,18.551582
-28.059901,96,18.622238
-28.584681,96,18.692247
-35.771586,96,18.820219
-31.724331,96,18.886503
-27.52541,96,18.956606
-28.292312,96,19.071686
-33.386094,96,19.138092
-28.769754,96,19.250961
-25.874539,96,19.317782
-33.82341,96,19.387389
-33.112034,96,19.503194
-32.062965,96,19.567963
-27.782462,96,19.634835
-28.954539,96,19.753222
-28.739788,96,19.820902
-39.521182,96,19.940734
-31.407586,96,20.008049
-28.479157,96,20.075106
-30.542837,96,20.189414
-31.417547,96,20.258597
-27.218623,96,20.325812
-26.389955,96,20.440368
-26.87458,96,20.505548
-30.607311,96,20.620376
-35.491669,96,20.689744
-27.815163,96,20.760373
-31.831295,96,20.884082
-27.744806,96,20.959654
-36.164612,96,21.028338
-29.411015,96,21.147635
-31.492992,96,21.214718
-28.154726,96,21.333539
-24.753124,96,21.400715
-26.61269,96,21.466794
-23.078498,96,21.583069
-30.722156,96,21.653587
-25.154497,96,21.721202
-27.133453,96,21.83962
-32.030904,96,21.907604
-36.749483,96,22.035368
-30.16452,96,22.105302
-32.872664,96,22.176106
-27.325922,96,22.298385
-34.836721,96,22.369901
-34.859685,96,22.44078
-39.726766,96,22.565222
-33.591969,96,22.631095
-35.585788,96,22.751991
-27.381138,96,22.823964
-42.070877,96,22.894677
-31.620229,96,23.019002
-25.928161,96,23.087098
-28.381973,96,23.154942
-30.782096,96,23.27259
-28.929104,96,23.339369
-25.64107,96,23.45596
-29.023862,96,23.523542
-26.863048,96,23.591151
-40.497055,96,23.709981
-21.24796,96,23.777837
-27.475701,96,23.847062
-29.212981,96,23.967019
-28.002804,96,24.034414
-32.12778,96,24.150714
-31.064832,96,24.218531
-34.105177,96,24.284043
-29.757097,96,24.402314
-25.908717,96,24.471233
-25.773001,96,24.537871
-29.652038,96,24.656289
-24.075854,96,24.724598
-22.667528,96,24.844798
-38.333015,96,24.930348
-28.687561,96,24.996912
-26.413279,96,25.117964
-24.5682,96,25.187134
-33.642564,96,25.253847
-26.254117,96,25.374395
-27.24359,96,25.448411
-28.316827,96,25.591288
-31.379394,96,25.659816
-27.863214,96,25.728984
-37.615143,96,25.84992
-31.135212,96,25.93594
-26.773227,96,26.006011
-28.961575,96,26.120808
-30.79605,96,26.189692
-36.079769,96,26.310657
-25.174099,96,26.37981
-29.297324,96,26.447526
-25.623465,96,26.577593
-24.776748,96,26.65233
-26.391104,96,26.721769
-28.917925,96,26.844231
-33.140976,96,26.918803
-29.489249,96,27.03969
-27.980438,96,27.109664
-26.199576,96,27.176208
-33.698432,96,27.295492
-32.368172,96,27.366343
-25.053228,96,27.437235
-25.881155,96,27.554908
-26.913362,96,27.625822
-25.505094,96,27.74661
-28.515753,96,27.818432
-27.655633,96,27.910779
-26.672783,96,28.030558
-23.897779,96,28.095498
-24.570845,96,28.163292
-30.254783,96,28.282582
-27.18208,96,28.349297
-28.954285,96,28.469172
-25.689497,96,28.537783
-30.427684,96,28.606745
-23.041023,96,28.723309
-29.092766,96,28.790042
-32.27475,96,28.860499
-24.896324,96,28.982776
-30.395624,96,29.053637
-26.363996,96,29.175401
-25.863229,96,29.246336
-25.689323,96,29.316254
-29.815079,96,29.43698
-28.134752,96,29.504414
-20.621523,96,29.574293
-28.866144,96,29.6957
-25.262808,96,29.762364
-27.238889,96,29.88149
-23.722232,96,29.955603
-35.479007,96,30.024395
-24.306434,96,30.138271
-27.403556,96,30.202347
-29.153324,96,30.268338
-29.366806,96,30.384636
-24.093432,96,30.450772
-30.956475,96,30.578014
-26.434755,96,30.646918
-26.164963,96,30.715495
-29.55833,96,30.838611
-26.849519,96,30.920197
-26.954526,96,30.987977
-27.86141,96,31.110208
-24.853638,96,31.17837
-29.052961,96,31.295967
-31.027553,96,31.365675
-27.412668,96,31.433175
-26.806012,96,31.549071
-24.336956,96,31.614843
-23.287223,96,31.683635
-26.398143,96,31.801834
-29.284227,96,31.87368
-25.166083,96,31.998214
-25.021184,96,32.065639
-19.685814,96,32.13273
-34.806132,96,32.248264
-28.560131,96,32.31654
-31.344115,96,32.385592
-21.461751,96,32.502521
-28.101865,96,32.569304
-21.952036,96,32.687617
-21.039374,96,32.7542
-23.971549,96,32.822775
-25.117021,96,32.942253
-22.473563,96,33.012179
-27.210287,96,33.080492
-21.633966,96,33.206463
-31.375412,96,33.27264
-27.296678,96,33.397356
-26.978619,96,33.464693
-24.73506,96,33.533969
-25.428759,96,33.653528
-20.893485,96,33.721547
-28.581122,96,33.7907
-25.846245,96,33.910632
-22.480811,96,33.982012
-21.932749,96,34.10106
-29.835286,96,34.177653
-27.12823,96,34.244805
-26.360416,96,34.362434
-26.84058,96,34.429091
-25.73967,96,34.498519
-24.570452,96,34.623231
-26.941913,96,34.693651
-25.391594,96,34.815232
-28.636926,96,34.886163
-22.25847,96,34.959348
-24.829304,96,35.080485
-23.852641,96,35.154356
-23.538598,96,35.228584
-26.779004,96,35.348343
-29.518976,96,35.414302
-26.694765,96,35.53409
-29.703595,96,35.603368
-31.336237,96,35.676908
-32.200245,96,35.90062
-31.86188,96,35.997514
-27.110368,96,36.069914
-22.273108,96,36.195792
