#{"t_start": 1788614497.0806954, "env_id": "None"}
r,l,t
-77.515716,96,0.092998
-103.782331,96,1.465987
-134.481682,96,2.89235
-45.056645,96,4.329986
-50.517343,96,5.796867
-43.538975,96,7.370435
-35.747072,96,9.018858
-44.268247,96,10.617934
-72.765998,96,12.174173
-39.057761,96,13.741696
-33.716592,96,15.239859
-31.566755,96,16.822975
-45.816752,96,18.560878
-45.987431,96,20.247814
-43.999053,96,21.805724
-40.734813,96,23.325025
-41.213275,96,24.84651
-37.754902,96,26.3119
-32.959633,96,27.782511
-29.729313,96,29.38631
-36.543811,96,30.911519
-51.824216,96,32.409522
-32.738367,96,33.955767
-30.04207,96,35.483115
-29.017601,96,36.98085
-32.260723,96,38.474551
-26.572986,96,39.960079
-44.460859,96,41.465615
-37.458391,96,42.928079
-23.05335,96,44.41219
-31.484403,96,45.892718
-30.473296,96,47.381556
-23.184425,96,48.841556
-24.112749,96,50.326554
-25.929195,96,51.785929
-36.145526,96,53.254777
-23.30321,96,54.827737
-26.924774,96,56.497302
-27.243767,96,58.0767
-26.596765,96,59.622988
-29.239017,96,61.205312
-32.691999,96,62.780974
-29.581519,96,64.338994
-28.048311,96,65.899598
-27.544132,96,67.371206
-31.676807,96,68.854014
-24.299562,96,70.440031
-22.834607,96,72.053113
-24.664369,96,73.591362
-27.734858,96,75.169206
-20.421432,96,76.679045
-23.790052,96,78.169619
-22.559396,96,79.678213
-21.595524,96,81.170199
-28.563769,96,82.719392
-21.145987,96,84.295633
-25.523009,96,85.783132
-19.331179,96,87.312848
-21.062933,96,88.85464
-18.357456,96,90.42964
-22.137465,96,91.928242
-15.398081,96,93.432
-14.178451,96,94.918279
-17.529521,96,96.408731
-20.534828,96,97.926261
-13.120597,96,99.49152
-16.489613,96,100.987942
-23.629926,96,102.508351
-16.030841,96,104.048672
-11.210163,96,105.674174
-10.382428,96,107.262272
-16.750433,96,108.854059
-20.02898,96,110.378683
-14.494768,96,111.90348
-21.513821,96,113.527411
-20.158022,96,115.153664
-15.35946,96,116.753359
-9.01756,96,118.360026
-18.666862,96,119.893177
-11.660405,96,121.388267
-20.385004,96,123.003715
-10.891909,96,124.47708
-15.324246,96,126.06664
-17.161325,96,127.585285
-8.978143,96,129.083797
-8.918678,96,130.616531
-11.937671,96,132.252317
-5.340193,96,133.802359
-10.92194,96,135.351077
-10.954377,96,136.867323
-17.096949,96,138.434949
-12.086244,96,140.025713
-14.605205,96,141.549758
-11.080365,96,143.150416
-9.068161,96,144.753253
-8.145501,96,146.323162
-2.903325,96,147.912661
-7.863924,96,149.440617
-9.808608,96,151.036846
-7.06258,96,152.592851
-7.183664,96,154.284127
-2.711698,96,155.87778
2.404285,96,157.546663
-5.737093,96,159.241788
-10.59275,96,160.914299
-2.876308,96,162.649926
-11.416498,96,164.656539
2.470933,96,167.182413
-7.466278,96,169.577986
3.177128,96,171.353659
-0.848141,96,173.054602
3.766986,96,174.667147
-7.784742,96,176.571323
2.962365,96,178.145294
0.010127,96,179.938484
-0.27727,96,181.983449
-1.923535,96,184.644305
0.807945,96,187.208654
5.134759,96,189.842804
0.507122,96,192.381606
-0.334061,96,194.255612
4.394909,96,196.182437
8.452412,96,197.869516
1.494574,96,199.45566
-0.287979,96,201.252275
-1.956208,96,202.976254
3.847929,96,204.70491
5.844102,96,206.454543
-3.970401,96,208.043279
6.027259,96,209.64789
11.002224,96,211.131104
10.84856,96,212.656715
-4.540045,96,214.168154
-1.404208,96,215.665905
4.155495,96,217.230908
9.490963,96,218.79523
-4.027182,96,220.306062
3.291597,96,221.907058
6.114619,96,223.473004
-0.556197,96,225.073137
-0.114808,96,226.693124
4.55571,96,228.327637
5.36951,96,229.943495
-3.572696,96,231.532063
4.334645,96,233.006049
13.231454,96,234.573021
15.691182,96,236.142427
8.339915,96,237.710787
4.245643,96,239.257954
11.829918,96,240.792521
10.368282,96,242.300957
3.856943,96,243.797291
1.291809,96,245.250964
5.605143,96,246.827562
11.017762,96,248.337672
5.027852,96,249.902058
12.641777,96,251.494054
9.224736,96,252.972993
8.988604,96,254.451742
8.600307,96,255.891985
9.65929,96,257.381994
15.275638,96,258.852729
9.135886,96,260.325997
11.990904,96,261.806014
11.237871,96,263.291167
13.278651,96,264.738005
5.886308,96,266.208838
13.702259,96,267.651011
5.190253,96,269.10226
8.884905,96,270.585506
14.214135,96,272.056724
6.431471,96,273.541573
5.871452,96,275.054646
12.079075,96,276.534039
2.981464,96,278.00468
8.737881,96,279.572409
1.590846,96,281.053163
2.977603,96,282.526046
5.541004,96,283.987702
4.867379,96,285.45705
10.440949,96,286.941707
8.900262,96,288.534773
6.953027,96,290.209954
14.170557,96,291.822527
13.348022,96,293.433989
4.899755,96,295.057809
3.88429,96,296.699168
4.735192,96,298.328086
4.243802,96,300.051349
8.684827,96,301.757277
5.316772,96,303.484447
13.742023,96,305.045785
15.4714,96,306.530089
3.761982,96,308.066895
10.067737,96,309.544635
9.69593,96,311.038327
5.841371,96,312.511111
4.422247,96,313.98911
4.55936,96,315.462113
7.740007,96,316.954473
6.120802,96,318.421002
8.749115,96,319.886882
10.466161,96,321.362128
8.87731,96,322.823133
9.204446,96,324.545898
4.981288,96,326.261107
7.241232,96,327.843348
9.065359,96,329.33905
