#{"t_start": 1788727982.4585605, "env_id": "None"}
r,l,t
-159.619742,96,0.062165
-69.705782,96,1.456322
-32.249799,96,2.505341
-75.343456,96,3.517343
-41.147384,96,4.729512
-51.292654,96,5.873397
-58.402675,96,7.066335
-42.560564,96,8.329334
-37.777888,96,9.588974
-38.890749,96,10.833912
-42.396273,96,12.009004
-45.94949,96,13.21292
-38.193322,96,14.446431
-43.126453,96,15.617095
-40.811095,96,16.788667
-40.397213,96,17.935066
-38.752172,96,19.072521
-36.223585,96,20.291045
-32.692756,96,21.511024
-42.177453,96,22.755945
-26.039623,96,23.936296
-43.141569,96,25.135373
-28.651225,96,26.326546
-34.13194,96,27.533142
-26.861266,96,28.698205
-31.759315,96,29.844567
-28.082944,96,31.001392
-37.013912,96,32.157325
-32.477302,96,33.3438
-33.257746,96,34.503464
-32.263674,96,35.639274
-27.540094,96,36.814159
-29.337986,96,37.977175
-25.757019,96,39.096102
-31.199303,96,40.23416
-23.441642,96,41.375144
-27.731549,96,42.563907
-27.77162,96,43.811839
-29.719438,96,45.022111
-36.512395,96,46.193386
-32.576886,96,47.350575
-21.127626,96,48.570762
-24.992122,96,49.780001
-24.966142,96,51.045972
-26.588988,96,52.23742
-22.744285,96,53.398469
-26.912239,96,54.60163
-23.888263,96,55.991502
-24.75179,96,57.216325
-23.921164,96,58.458193
-30.944036,96,59.746404
-12.813085,96,61.010982
-20.645788,96,62.244689
-20.666119,96,63.432391
-15.752749,96,64.619305
-17.14166,96,65.808375
-26.180169,96,66.951376
-31.861474,96,68.098494
-13.177739,96,69.306801
-23.266856,96,70.434832
-24.601702,96,71.582478
-29.721832,96,72.767095
-20.101387,96,73.955282
-23.872163,96,75.16567
-20.932658,96,76.345346
-14.400184,96,77.517466
-27.106474,96,78.678987
-12.773918,96,79.825608
-13.182284,96,81.05803
-19.491216,96,82.289097
-15.801978,96,83.559853
-17.063313,96,84.832325
-18.42169,96,86.176804
-8.626885,96,87.497291
-14.099099,96,88.845865
-17.542572,96,90.118201
-18.141074,96,91.298049
-17.42512,96,92.421685
-13.864466,96,93.610704
-8.659196,96,94.888192
-10.271961,96,96.11859
-13.293907,96,97.338871
-12.493679,96,98.605067
-11.565048,96,99.803312
-3.164761,96,100.977209
-4.532082,96,102.150898
-8.33902,96,103.338876
-6.288109,96,104.607071
-3.407556,96,105.784141
-12.644351,96,107.107539
0.088264,96,108.336375
-1.065344,96,109.444989
-7.53261,96,110.483419
-5.692804,96,111.687911
4.949378,96,112.88565
-6.010581,96,114.028507
-2.407315,96,115.171267
-2.991113,96,116.32094
-1.566808,96,117.448694
-5.898702,96,118.592867
1.710338,96,119.754225
0.581946,96,120.96897
3.73016,96,122.174706
-4.560759,96,123.301079
-0.797233,96,124.424931
4.492135,96,125.557442
0.758909,96,126.731476
-5.312795,96,127.903549
4.893759,96,129.11565
0.174463,96,130.296481
1.170801,96,131.488406
-1.935418,96,132.629492
4.493303,96,133.809621
6.280905,96,135.019087
5.096777,96,136.212584
2.753613,96,137.41548
7.333885,96,138.553848
-0.155882,96,139.684266
3.89962,96,140.81044
4.98468,96,141.974448
1.898508,96,143.122245
6.342746,96,144.293374
3.846186,96,145.443051
4.214802,96,146.641958
-0.940435,96,147.825109
9.070899,96,149.031669
5.874967,96,150.232357
2.354909,96,151.440897
-1.329535,96,152.629818
7.800403,96,153.984524
-1.540241,96,155.19798
5.742934,96,156.366453
11.707238,96,157.539503
3.894774,96,158.69433
-7.586305,96,159.822579
13.954763,96,160.9404
10.242508,96,162.063385
-2.128962,96,163.183978
7.238132,96,164.328659
9.208456,96,165.812379
6.583751,96,167.006527
8.395343,96,168.132869
12.608748,96,169.312511
6.891978,96,170.439696
7.304036,96,171.604472
5.762322,96,172.790511
15.287198,96,174.269579
0.294181,96,175.458241
5.526844,96,176.624131
4.233534,96,177.862352
7.663481,96,179.014251
12.805589,96,180.173282
8.775767,96,181.350653
9.573934,96,182.57785
16.440768,96,183.736284
2.035718,96,184.895658
7.399938,96,186.310757
9.411906,96,187.526174
10.549983,96,188.707369
13.253301,96,189.882841
5.779501,96,191.047311
12.342567,96,192.189554
10.29676,96,193.335543
16.199099,96,194.503729
8.942753,96,195.80956
-1.550904,96,196.97435
13.222145,96,198.169495
2.880754,96,199.406971
9.441738,96,200.644865
5.989746,96,201.987657
8.782894,96,203.42442
11.453839,96,204.593048
16.73599,96,205.771546
14.177701,96,206.903111
8.655758,96,208.000404
11.012339,96,209.054544
10.33701,96,210.091069
14.048979,96,211.138633
9.806507,96,212.192597
14.803885,96,213.198465
14.440895,96,214.518376
11.079624,96,215.695556
10.877594,96,216.903555
10.238028,96,218.075392
9.435401,96,219.209592
9.580852,96,220.33577
14.877401,96,221.463529
12.724466,96,222.587566
9.070629,96,223.726058
8.601389,96,224.869749
13.113478,96,226.044054
8.149806,96,227.210776
9.38173,96,228.4414
10.419967,96,229.735618
9.107638,96,230.956898
6.660311,96,232.290251
7.166407,96,233.650275
12.757338,96,234.958368
10.169303,96,236.1743
6.38788,96,237.391775
2.943166,96,238.560193
15.475944,96,239.742986
13.43804,96,241.024207
9.813547,96,242.260482
10.879603,96,243.472354
9.860323,96,244.70008
7.793038,96,245.867241
12.016225,96,247.027315
12.373104,96,248.185322
12.045374,96,249.356675
13.158914,96,250.467525
9.079707,96,251.617958
12.484184,96,252.756912
5.44476,96,253.901988
17.347592,96,255.075916
12.850995,96,256.246989
9.303386,96,257.44905
15.687251,96,258.662571
11.049495,96,259.855802
